rank_type,rank,sa2_code,sa2_name,sa3_name,sa4_name,area_band,population_2021,population_2022,population_2023,population_2024,population_2025,population_density_2025,population_growth_pct_2024_25,growth_category,area_km2,train_stops,tram_stops,bus_stops,total_stops,stops_per_10000_people,people_per_stop,dominant_mode,access_category
Lowest access,1,209031212,Panton Hill - St Andrews,Nillumbik - Kinglake,Melbourne - North East,Middle ring,5121,5146,5105,5123,5130,17.6,0.1,Stable,292.1978,0,0,2,2,3.9,2565.0,Bus,Very low
Lowest access,2,212011548,Koo Wee Rup,Cardinia,Melbourne - South East,Outer / growth corridor,10160,10802,11503,11981,12598,30.4,5.1,Growing,414.663,0,0,5,5,3.97,2520.0,Bus,Very low
Lowest access,3,213041574,Fraser Rise - Plumpton,Melton - Bacchus Marsh,Melbourne - West,Outer / growth corridor,10239,12954,16374,20675,24739,421.2,19.7,Rapid growth,58.7312,0,0,11,11,4.45,2249.0,Bus,Very low
Lowest access,4,210021233,Macedon,Macedon Ranges,Melbourne - North West,Outer / growth corridor,3540,3571,3570,3623,3615,49.5,-0.2,Decline,72.9902,1,0,1,2,5.53,1808.0,Train,Very low
Lowest access,5,212031558,Cranbourne East - South,Casey - South,Melbourne - South East,Outer / growth corridor,12450,13633,14425,15055,15590,2926.5,3.6,Growing,5.3272,0,0,13,13,8.34,1199.0,Bus,Very low
Lowest access,6,212011550,Pakenham - North West,Cardinia,Melbourne - South East,Outer / growth corridor,7567,8087,8785,9629,10502,425.6,9.1,Rapid growth,24.6776,0,0,9,9,8.57,1167.0,Bus,Very low
Lowest access,7,210021234,Riddells Creek,Macedon Ranges,Melbourne - North West,Outer / growth corridor,4498,4521,4537,4520,4589,55.1,1.5,Stable,83.3503,1,0,3,4,8.72,1147.0,Bus,Very low
Lowest access,8,213051582,Tarneit (West) - Mount Cottrell,Wyndham,Melbourne - West,Outer / growth corridor,10316,13015,15199,17068,19169,522.2,12.3,Rapid growth,36.7062,0,0,19,19,9.91,1009.0,Bus,Very low
Lowest access,9,213041572,Cobblebank - Strathtulloh,Melton - Bacchus Marsh,Melbourne - West,Outer / growth corridor,7715,8835,10197,11697,12885,652.1,10.2,Rapid growth,19.7593,1,0,12,13,10.09,991.0,Bus,Low
Lowest access,10,209041437,Wollert,Whittlesea - Wallan,Melbourne - North East,Middle ring,24807,28188,30686,33491,36658,680.2,9.5,Rapid growth,53.892,0,0,37,37,10.09,991.0,Bus,Low
Lowest access,11,206041509,Southbank - East,Melbourne City,Melbourne - Inner,Inner Melbourne,16506,17267,18684,19274,19552,24318.4,1.4,Stable,0.804,0,15,5,20,10.23,978.0,Tram,Low
