path_id,sa2_code,sa2_name,access_category,growth,point_order,longitude,latitude
206011107-0,206011107,Brunswick West,High,2.9,0,144.93408,-37.75968
206011107-0,206011107,Brunswick West,High,2.9,1,144.93846,-37.76109
206011107-0,206011107,Brunswick West,High,2.9,2,144.93708,-37.77776
206011107-0,206011107,Brunswick West,High,2.9,3,144.94941,-37.77673
206011107-0,206011107,Brunswick West,High,2.9,4,144.95066,-37.75622
206011107-0,206011107,Brunswick West,High,2.9,5,144.95387,-37.75422
206011107-0,206011107,Brunswick West,High,2.9,6,144.92696,-37.75106
206011107-0,206011107,Brunswick West,High,2.9,7,144.93496,-37.75328
206011107-0,206011107,Brunswick West,High,2.9,8,144.93406,-37.75955
206011107-0,206011107,Brunswick West,High,2.9,9,144.93408,-37.75968
206011109-0,206011109,Pascoe Vale South,High,0.7,0,144.93265,-37.74225
206011109-0,206011109,Pascoe Vale South,High,0.7,1,144.93465,-37.74423
206011109-0,206011109,Pascoe Vale South,High,0.7,2,144.92856,-37.7457
206011109-0,206011109,Pascoe Vale South,High,0.7,3,144.92696,-37.75106
206011109-0,206011109,Pascoe Vale South,High,0.7,4,144.94575,-37.75326
206011109-0,206011109,Pascoe Vale South,High,0.7,5,144.94906,-37.73599
206011109-0,206011109,Pascoe Vale South,High,0.7,6,144.92879,-37.73361
206011109-0,206011109,Pascoe Vale South,High,0.7,7,144.93251,-37.74225
206011109-0,206011109,Pascoe Vale South,High,0.7,8,144.93265,-37.74225
206011495-0,206011495,Brunswick - North,Moderate,5.4,0,144.95031,-37.75808
206011495-0,206011495,Brunswick - North,Moderate,5.4,1,144.94975,-37.76276
206011495-0,206011495,Brunswick - North,Moderate,5.4,2,144.97231,-37.76812
206011495-0,206011495,Brunswick - North,Moderate,5.4,3,144.97397,-37.75869
206011495-0,206011495,Brunswick - North,Moderate,5.4,4,144.97663,-37.759
206011495-0,206011495,Brunswick - North,Moderate,5.4,5,144.95387,-37.75422
206011495-0,206011495,Brunswick - North,Moderate,5.4,6,144.95045,-37.75736
206011495-0,206011495,Brunswick - North,Moderate,5.4,7,144.95031,-37.75808
206011496-0,206011496,Brunswick - South,Moderate,1.9,0,144.94986,-37.77014
206011496-0,206011496,Brunswick - South,Moderate,1.9,1,144.94941,-37.77673
206011496-0,206011496,Brunswick - South,Moderate,1.9,2,144.97053,-37.77928
206011496-0,206011496,Brunswick - South,Moderate,1.9,3,144.97231,-37.76812
206011496-0,206011496,Brunswick - South,Moderate,1.9,4,144.9597,-37.76674
206011496-0,206011496,Brunswick - South,Moderate,1.9,5,144.95902,-37.76386
206011496-0,206011496,Brunswick - South,Moderate,1.9,6,144.94975,-37.76276
206011496-0,206011496,Brunswick - South,Moderate,1.9,7,144.94929,-37.77007
206011496-0,206011496,Brunswick - South,Moderate,1.9,8,144.94986,-37.77014
206011497-0,206011497,Coburg - East,High,4.1,0,144.96328,-37.74286
206011497-0,206011497,Coburg - East,High,4.1,1,144.96174,-37.75514
206011497-0,206011497,Coburg - East,High,4.1,2,144.98018,-37.75729
206011497-0,206011497,Coburg - East,High,4.1,3,144.98182,-37.75209
206011497-0,206011497,Coburg - East,High,4.1,4,144.97897,-37.74272
206011497-0,206011497,Coburg - East,High,4.1,5,144.98291,-37.73594
206011497-0,206011497,Coburg - East,High,4.1,6,144.96287,-37.73375
206011497-0,206011497,Coburg - East,High,4.1,7,144.96351,-37.74101
206011497-0,206011497,Coburg - East,High,4.1,8,144.96328,-37.74286
206011498-0,206011498,Coburg - West,Moderate,1.5,0,144.94906,-37.73599
206011498-0,206011498,Coburg - West,Moderate,1.5,1,144.94575,-37.75326
206011498-0,206011498,Coburg - West,Moderate,1.5,2,144.96174,-37.75514
206011498-0,206011498,Coburg - West,Moderate,1.5,3,144.96287,-37.73375
206011498-0,206011498,Coburg - West,Moderate,1.5,4,144.94947,-37.73249
206011498-0,206011498,Coburg - West,Moderate,1.5,5,144.94912,-37.73561
206011498-0,206011498,Coburg - West,Moderate,1.5,6,144.94906,-37.73599
206021110-0,206021110,Alphington - Fairfield,High,1,0,145.0178,-37.7672
206021110-0,206021110,Alphington - Fairfield,High,1,1,145.01431,-37.78382
206021110-0,206021110,Alphington - Fairfield,High,1,2,145.03479,-37.77997
206021110-0,206021110,Alphington - Fairfield,High,1,3,145.0341,-37.7726
206021110-0,206021110,Alphington - Fairfield,High,1,4,145.0371,-37.77189
206021110-0,206021110,Alphington - Fairfield,High,1,5,145.03121,-37.76662
206021110-0,206021110,Alphington - Fairfield,High,1,6,145.01671,-37.76709
206021110-0,206021110,Alphington - Fairfield,High,1,7,145.0178,-37.7672
206021112-0,206021112,Thornbury,Moderate,1.7,0,144.98128,-37.75256
206021112-0,206021112,Thornbury,Moderate,1.7,1,144.98018,-37.75729
206021112-0,206021112,Thornbury,Moderate,1.7,2,144.988,-37.75817
206021112-0,206021112,Thornbury,Moderate,1.7,3,144.98738,-37.76142
206021112-0,206021112,Thornbury,Moderate,1.7,4,145.03121,-37.76662
206021112-0,206021112,Thornbury,Moderate,1.7,5,145.02784,-37.76359
206021112-0,206021112,Thornbury,Moderate,1.7,6,145.03137,-37.75572
206021112-0,206021112,Thornbury,Moderate,1.7,7,144.98139,-37.75248
206021112-0,206021112,Thornbury,Moderate,1.7,8,144.98128,-37.75256
206021499-0,206021499,Northcote - East,Moderate,0.8,0,144.99847,-37.77201
206021499-0,206021499,Northcote - East,Moderate,0.8,1,144.99646,-37.78523
206021499-0,206021499,Northcote - East,Moderate,0.8,2,145.01431,-37.78382
206021499-0,206021499,Northcote - East,Moderate,0.8,3,145.01579,-37.77916
206021499-0,206021499,Northcote - East,Moderate,0.8,4,145.01704,-37.76512
206021499-0,206021499,Northcote - East,Moderate,0.8,5,144.99982,-37.76325
206021499-0,206021499,Northcote - East,Moderate,0.8,6,144.99855,-37.7716
206021499-0,206021499,Northcote - East,Moderate,0.8,7,144.99847,-37.77201
206021500-0,206021500,Northcote - West,Moderate,1.4,0,144.9843,-37.76505
206021500-0,206021500,Northcote - West,Moderate,1.4,1,144.98446,-37.77122
206021500-0,206021500,Northcote - West,Moderate,1.4,2,144.9956,-37.78468
206021500-0,206021500,Northcote - West,Moderate,1.4,3,144.99992,-37.76268
206021500-0,206021500,Northcote - West,Moderate,1.4,4,144.98018,-37.75729
206021500-0,206021500,Northcote - West,Moderate,1.4,5,144.98421,-37.76495
206021500-0,206021500,Northcote - West,Moderate,1.4,6,144.9843,-37.76505
206031113-0,206031113,Ascot Vale,Moderate,2,0,144.89943,-37.77039
206031113-0,206031113,Ascot Vale,Moderate,2,1,144.89601,-37.7744
206031113-0,206031113,Ascot Vale,Moderate,2,2,144.90399,-37.78457
206031113-0,206031113,Ascot Vale,Moderate,2,3,144.90272,-37.78964
206031113-0,206031113,Ascot Vale,Moderate,2,4,144.91359,-37.77938
206031113-0,206031113,Ascot Vale,Moderate,2,5,144.91762,-37.7836
206031113-0,206031113,Ascot Vale,Moderate,2,6,144.93124,-37.78136
206031113-0,206031113,Ascot Vale,Moderate,2,7,144.9301,-37.77702
206031113-0,206031113,Ascot Vale,Moderate,2,8,144.93708,-37.77776
206031113-0,206031113,Ascot Vale,Moderate,2,9,144.93649,-37.77378
206031113-0,206031113,Ascot Vale,Moderate,2,10,144.89978,-37.77027
206031113-0,206031113,Ascot Vale,Moderate,2,11,144.89943,-37.77039
206031115-0,206031115,Flemington,Moderate,-2.7,0,144.92204,-37.7837
206031115-0,206031115,Flemington,Moderate,-2.7,1,144.91762,-37.7836
206031115-0,206031115,Flemington,Moderate,-2.7,2,144.92131,-37.78745
206031115-0,206031115,Flemington,Moderate,-2.7,3,144.94037,-37.78761
206031115-0,206031115,Flemington,Moderate,-2.7,4,144.93708,-37.77776
206031115-0,206031115,Flemington,Moderate,-2.7,5,144.9301,-37.77702
206031115-0,206031115,Flemington,Moderate,-2.7,6,144.93233,-37.7809
206031115-0,206031115,Flemington,Moderate,-2.7,7,144.92216,-37.78296
206031115-0,206031115,Flemington,Moderate,-2.7,8,144.92204,-37.7837
206031116-0,206031116,Moonee Ponds,High,1.2,0,144.90357,-37.76487
206031116-0,206031116,Moonee Ponds,High,1.2,1,144.90096,-37.77001
206031116-0,206031116,Moonee Ponds,High,1.2,2,144.93843,-37.77171
206031116-0,206031116,Moonee Ponds,High,1.2,3,144.93523,-37.77061
206031116-0,206031116,Moonee Ponds,High,1.2,4,144.93841,-37.76091
206031116-0,206031116,Moonee Ponds,High,1.2,5,144.93215,-37.75872
206031116-0,206031116,Moonee Ponds,High,1.2,6,144.91626,-37.75693
206031116-0,206031116,Moonee Ponds,High,1.2,7,144.91598,-37.76112
