sa2_code,sa2_name,area_band,longitude,latitude,population_2025,population_growth_pct_2024_25,stops_per_10000_people,total_stops,access_category
206011107,Brunswick West,Inner Melbourne,144.942547,-37.763307,15988,2.9,55.04,88,High
206011109,Pascoe Vale South,Inner Melbourne,144.93847,-37.743432,10907,0.7,45.84,50,High
206011495,Brunswick - North,Inner Melbourne,144.963041,-37.760616,15255,5.4,38.68,59,Moderate
206011496,Brunswick - South,Inner Melbourne,144.959715,-37.771549,15366,1.9,44.25,68,Moderate
206011497,Coburg - East,Inner Melbourne,144.971852,-37.745621,14457,4.1,57.41,83,High
206011498,Coburg - West,Inner Melbourne,144.955221,-37.743969,14989,1.5,36.03,54,Moderate
206021110,Alphington - Fairfield,Inner Melbourne,145.02468,-37.77445,9749,1,59.49,58,High
206021112,Thornbury,Inner Melbourne,145.00639,-37.758151,20234,1.7,39.54,80,Moderate
206021499,Northcote - East,Inner Melbourne,145.006709,-37.774262,15969,0.8,43.83,70,Moderate
206021500,Northcote - West,Inner Melbourne,144.991404,-37.769471,11026,1.4,37.18,41,Moderate
206031113,Ascot Vale,Inner Melbourne,144.913686,-37.776963,16398,2,41.47,68,Moderate
206031115,Flemington,Inner Melbourne,144.930909,-37.783815,9935,-2.7,29.19,29,Moderate
206031116,Moonee Ponds,Inner Melbourne,144.921436,-37.765613,17965,1.2,49.54,89,High
206031501,Essendon (West) - Aberfeldie,Inner Melbourne,144.899092,-37.750129,17119,0.1,41.47,71,Moderate
206031502,Essendon - East,Inner Melbourne,144.919277,-37.751271,13196,2.5,63.66,84,High
206041117,Carlton,Inner Melbourne,144.967804,-37.8005,25267,6.4,21.37,54,Moderate
206041118,Docklands,Inner Melbourne,144.943286,-37.817948,19139,4,22.99,44,Moderate
206041119,East Melbourne,Inner Melbourne,144.981484,-37.817141,5245,1.5,87.7,46,High
206041120,Flemington Racecourse,Inner Melbourne,144.912584,-37.787986,78,0,769.23,6,High
206041121,Kensington (Vic.),Inner Melbourne,144.927074,-37.794318,12423,6.9,14.49,18,Low
206041124,Parkville,Inner Melbourne,144.951539,-37.787092,8280,1.2,62.8,52,High
206041125,South Yarra - West,Inner Melbourne,144.981876,-37.839429,6894,0,47.87,33,High
206041127,West Melbourne - Industrial,Inner Melbourne,144.922049,-37.810109,0,0,0,18,Very low
206041503,Melbourne CBD - East,Inner Melbourne,144.968593,-37.812787,14266,5,23.13,33,Moderate
206041504,Melbourne CBD - North,Inner Melbourne,144.960884,-37.809191,24296,3.9,11.94,29,Low
206041505,Melbourne CBD - West,Inner Melbourne,144.958708,-37.816738,22163,3.9,29.78,66,Moderate
206041506,North Melbourne,Inner Melbourne,144.945126,-37.798656,19286,1.1,30.59,59,Moderate
206041507,Royal Botanic Gardens Victoria,Inner Melbourne,144.976706,-37.82775,0,0,0,8,Very low
206041508,Southbank (West) - South Wharf,Inner Melbourne,144.956364,-37.82423,8122,4.4,17.24,14,Low
206041509,Southbank - East,Inner Melbourne,144.966122,-37.826357,19552,1.4,10.23,20,Low
206041510,West Melbourne - Residential,Inner Melbourne,144.949764,-37.80858,9699,5,20.62,20,Moderate
206051128,Albert Park,Inner Melbourne,144.964055,-37.845624,17253,0.9,35.94,62,Moderate
206051129,Elwood,Inner Melbourne,144.98554,-37.880909,16056,1.1,26.78,43,Moderate
206051130,Port Melbourne,Inner Melbourne,144.935057,-37.838058,16927,0.7,33.67,57,Moderate
206051134,St Kilda East,Inner Melbourne,144.998188,-37.867068,17380,0.8,27.62,48,Moderate
