sa2_code,sa2_name,sa3_name,sa4_name,area_band,population_2021,population_2022,population_2023,population_2024,population_2025,population_density_2025,population_growth_pct_2024_25,growth_category,area_km2,train_stops,tram_stops,bus_stops,total_stops,stops_per_10000_people,people_per_stop,dominant_mode,access_category
206041504,Melbourne CBD - North,Melbourne City,Melbourne - Inner,Inner Melbourne,17360,18774,21527,23395,24296,43262.1,3.9,Growing,0.5616,2,15,12,29,11.94,838.0,Tram,Low
206041509,Southbank - East,Melbourne City,Melbourne - Inner,Inner Melbourne,16506,17267,18684,19274,19552,24318.4,1.4,Stable,0.804,0,15,5,20,10.23,978.0,Tram,Low
206041505,Melbourne CBD - West,Melbourne City,Melbourne - Inner,Inner Melbourne,16098,17226,19965,21340,22163,22050.5,3.9,Growing,1.0051,2,40,24,66,29.78,336.0,Tram,Moderate
206041503,Melbourne CBD - East,Melbourne City,Melbourne - Inner,Inner Melbourne,10119,10630,12389,13593,14266,17788.0,5,Growing,0.802,1,26,6,33,23.13,432.0,Tram,Moderate
206041117,Carlton,Melbourne City,Melbourne - Inner,Inner Melbourne,17064,17942,21321,23758,25267,13892.9,6.4,Rapid growth,1.8187,1,16,37,54,21.37,468.0,Bus,Moderate
206061515,South Yarra - North,Stonnington - West,Melbourne - Inner,Inner Melbourne,11449,11717,12877,13516,13779,11781.0,1.9,Stable,1.1696,1,8,15,24,17.42,574.0,Bus,Low
206041510,West Melbourne - Residential,Melbourne City,Melbourne - Inner,Inner Melbourne,7614,7979,8687,9236,9699,11760.6,5,Growing,0.8247,0,5,15,20,20.62,485.0,Bus,Moderate
206041508,Southbank (West) - South Wharf,Melbourne City,Melbourne - Inner,Inner Melbourne,6607,6778,7379,7783,8122,9559.8,4.4,Growing,0.8496,0,9,5,14,17.24,580.0,Tram,Low
206051513,St Kilda - Central,Port Phillip,Melbourne - Inner,Inner Melbourne,12086,12207,13134,13641,14012,9113.5,2.7,Growing,1.5375,0,32,19,51,36.4,275.0,Tram,Moderate
206071141,Collingwood,Yarra,Melbourne - Inner,Inner Melbourne,9351,9589,10398,11034,11383,8984.9,3.2,Growing,1.2669,0,8,12,20,17.57,569.0,Bus,Low
206071142,Fitzroy,Yarra,Melbourne - Inner,Inner Melbourne,10608,10739,11407,11884,12135,8806.9,2.1,Growing,1.3779,0,28,7,35,28.84,347.0,Tram,Moderate
206071518,Richmond - North,Yarra,Melbourne - Inner,Inner Melbourne,14074,13987,14798,15194,15303,7956.6,0.7,Stable,1.9233,2,25,4,31,20.26,494.0,Tram,Moderate
206041506,North Melbourne,Melbourne City,Melbourne - Inner,Inner Melbourne,15945,16510,17942,19069,19286,7953.6,1.1,Stable,2.4248,3,30,26,59,30.59,327.0,Tram,Moderate
206041118,Docklands,Melbourne City,Melbourne - Inner,Inner Melbourne,15905,16395,17661,18407,19139,7831.0,4,Growing,2.444,1,30,13,44,22.99,435.0,Tram,Moderate
206061516,South Yarra - South,Stonnington - West,Melbourne - Inner,Inner Melbourne,10097,9883,10435,10452,10440,7747.7,-0.1,Decline,1.3475,1,18,11,30,28.74,348.0,Tram,Moderate
